Trial 1,Trial 2
1.141,0.869
1.143,0.887
1.12,0.898
1.117,0.835
1.118,0.832
1.115,0.838
1.118,0.849
1.082,0.874
1.068,0.864
1.026,0.884
1.04,0.835
1.0,0.81
1.039,0.882
1.067,0.874
1.115,0.911
1.105,0.838
1.143,0.847
1.106,0.899
1.119,0.883
1.118,0.859
1.12,0.909
1.102,0.91
1.094,0.912
1.121,0.915
1.121,0.899
1.119,0.922
1.134,0.885
1.143,0.898
1.118,0.836
1.132,0.86
1.094,0.838
1.12,0.82
1.128,0.795
1.13,0.78
1.101,0.782
1.104,0.771
1.14,0.78
1.106,0.793
1.127,0.761
1.128,0.72
1.14,0.69
1.146,0.67
1.158,0.67
1.147,0.655
1.131,0.643
1.141,0.734
1.116,0.718
1.194,0.72
1.244,0.818
1.211,0.721
1.173,0.743
1.238,0.729
1.194,0.733
1.247,0.741
1.244,0.741
1.169,0.741
1.208,0.767
1.193,0.795
1.247,0.772
1.235,0.793
1.211,0.783
1.246,0.781
1.237,0.806
1.219,0.767
1.256,0.825
1.235,0.824
1.249,0.784
1.237,0.812
1.235,0.779
1.249,0.822
1.25,0.808
1.261,0.757
1.271,0.82
1.206,0.833
1.209,0.819
1.212,0.835
1.313,0.795
1.22,0.82
1.206,0.82
1.235,0.798
1.27,0.795
1.21,0.857
1.205,0.823
1.208,0.836
1.247,0.845
1.222,0.798
1.27,0.796
1.193,0.807
1.158,0.836
1.16,0.849
1.156,0.823
1.158,0.836
1.131,0.833
1.119,0.795
1.181,0.821
1.18,0.859
1.159,0.845
1.168,0.859
1.185,0.858
1.173,0.835
1.144,0.835
1.121,0.806
1.127,0.807
1.143,0.822
1.158,0.798
1.142,0.793
1.168,0.799
1.145,0.861
1.173,0.835
1.131,0.825
1.115,0.837
1.107,0.811
1.102,0.807
1.068,0.772
1.076,0.746
1.094,0.691
1.107,0.722
1.108,0.719
1.093,0.708
1.103,0.695
1.107,0.692
1.12,0.706
1.09,0.691
1.064,0.682
1.077,0.689
1.117,0.683
1.102,0.677
1.119,0.69
