Trial 1:0back,Trial 6:0back
1.094,1.094
1.117,1.117
1.06,1.06
1.077,1.077
1.091,1.091
1.072,1.072
1.082,1.082
1.09,1.09
1.116,1.116
1.155,1.155
1.168,1.168
1.143,1.143
1.129,1.129
1.092,1.092
1.104,1.104
1.154,1.154
1.181,1.181
1.178,1.178
1.157,1.157
1.108,1.108
1.104,1.104
1.146,1.146
1.173,1.173
1.185,1.185
1.179,1.179
1.141,1.141
1.119,1.119
1.158,1.158
1.183,1.183
1.21,1.21
1.197,1.197
1.157,1.157
1.142,1.142
1.142,1.142
1.16,1.16
1.168,1.168
1.13,1.13
1.118,1.118
1.12,1.12
1.042,1.042
1.04,1.04
1.054,1.054
1.078,1.078
1.106,1.106
1.077,1.077
1.04,1.04
1.03,1.03
1.031,1.031
1.052,1.052
1.102,1.102
1.107,1.107
1.106,1.106
1.094,1.094
1.027,1.027
1.002,1.002
1.054,1.054
1.079,1.079
1.118,1.118
1.116,1.116
1.077,1.077
1.064,1.064
1.041,1.041
1.08,1.08
1.119,1.119
1.134,1.134
1.143,1.143
1.031,1.031
0.976,0.976
0.975,0.975
0.95,0.95
0.98,0.98
0.989,0.989
0.971,0.971
0.896,0.896
0.877,0.877
0.82,0.82
0.845,0.845
0.805,0.805
0.805,0.805
0.771,0.771
0.72,0.72
0.691,0.691
0.69,0.69
0.81,0.81
0.96,0.96
0.962,0.962
0.951,0.951
0.948,0.948
0.847,0.847
0.769,0.769
0.733,0.733
0.694,0.694
0.731,0.731
0.72,0.72
0.683,0.683
0.696,0.696
0.707,0.707
0.72,0.72
0.703,0.703
0.704,0.704
0.679,0.679
0.704,0.704
0.64,0.64
0.652,0.652
0.72,0.72
0.758,0.758
0.796,0.796
0.807,0.807
0.741,0.741
0.732,0.732
0.745,0.745
0.758,0.758
0.794,0.794
0.838,0.838
0.87,0.87
0.864,0.864
0.851,0.851
0.836,0.836
0.82,0.82
0.785,0.785
0.834,0.834
0.911,0.911
0.924,0.924
0.914,0.914
